source,target
CentralMichigan,Purdue
CentralMichigan,Toledo
Cincinnati,AlabamaBirmingham
Cincinnati,Indiana
Clemson,Maryland
Clemson,WakeForest
Colorado,ColoradoState
Colorado,IowaState
Colorado,Kansas
Colorado,Missouri
Colorado,Nebraska
Colorado,OklahomaState
Colorado,Texas
Colorado,TexasA&M
Colorado,Washington
ColoradoState,AirForce
ColoradoState,Nevada
ColoradoState,NevadaLasVegas
Connecticut,EasternMichigan
Connecticut,Louisville
Connecticut,MiddleTennesseeState
Duke,Clemson
Duke,Maryland
Duke,NorthCarolina
Duke,Vanderbilt
Duke,WakeForest
EastCarolina,AlabamaBirmingham
EastCarolina,Army
EastCarolina,Duke
EastCarolina,Houston
EastCarolina,Louisville
EastCarolina,Memphis
EastCarolina,SouthernMississippi
EastCarolina,Tulane
EasternMichigan,MiamiOhio
EasternMichigan,SouthCarolina
EasternMichigan,Temple
EasternMichigan,Toledo
Florida,Georgia
Florida,Kentucky
Florida,LouisianaState
Florida,MiddleTennesseeState
Florida,MississippiState
Florida,SouthCarolina
Florida,Tennessee
Florida,Vanderbilt
FloridaState,Clemson
FloridaState,Duke
FloridaState,Florida
FloridaState,GeorgiaTech
FloridaState,Louisville
FloridaState,Maryland
FloridaState,MiamiFlorida
FloridaState,NorthCarolina
FloridaState,NorthCarolinaState
FloridaState,Virginia
FloridaState,WakeForest
FresnoState,California
FresnoState,Hawaii
FresnoState,Nevada
FresnoState,OhioState
FresnoState,Rice
FresnoState,SanJoseState
FresnoState,SouthernMethodist
FresnoState,TexasChristian
FresnoState,TexasElPaso
FresnoState,Tulsa
Georgia,Arkansas
GeorgiaTech,Clemson
GeorgiaTech,Duke
GeorgiaTech,Georgia
GeorgiaTech,Maryland
GeorgiaTech,Navy
GeorgiaTech,NorthCarolina
GeorgiaTech,WakeForest
Houston,Army
Houston,Cincinnati
Houston,LouisianaState
Houston,Louisville
Houston,Memphis
Houston,Rice
Houston,SouthernMethodist
Houston,SouthernMississippi
Houston,Texas
Houston,Tulane
Idaho,NewMexicoState
Idaho,Oregon
Idaho,UtahState
Idaho,Washington
Idaho,WashingtonState
Illinois,California
Illinois,Indiana
Illinois,MichiganState
Iowa,Illinois
Iowa,Indiana
Iowa,IowaState
Iowa,KansasState
Iowa,MichiganState
Iowa,Minnesota
Iowa,Nebraska
Iowa,Northwestern
Iowa,OhioState
Iowa,PennState
Iowa,WesternMichigan
Iowa,Wisconsin
IowaState,Missouri
IowaState,Nebraska
IowaState,NevadaLasVegas
IowaState,OklahomaState
IowaState,TexasA&M
Kansas,AlabamaBirmingham
Kansas,IowaState
Kansas,Missouri
Kansas,Nebraska
Kansas,Oklahoma
Kansas,SouthernMethodist
Kansas,Texas
KansasState,BallState
KansasState,Colorado
KansasState,IowaState
KansasState,Kansas
KansasState,LouisianaTech
KansasState,Missouri
KansasState,Nebraska
KansasState,NorthTexas
KansasState,Oklahoma
KansasState,TexasA&M
KansasState,TexasTech
Kent,Marshall
Kent,MiamiOhio
Kent,Ohio
Kent,Pittsburgh
Kentucky,Georgia
Kentucky,Indiana
Kentucky,LouisianaState
Kentucky,Louisville
Kentucky,Mississippi
Kentucky,MississippiState
Kentucky,SouthCarolina
Kentucky,Tennessee
Kentucky,Vanderbilt
LouisianaLafayette,AlabamaBirmingham
LouisianaLafayette,Texas
LouisianaMonroe,Arkansas
LouisianaMonroe,LouisianaLafayette
LouisianaMonroe,Memphis
LouisianaMonroe,MiddleTennesseeState
LouisianaMonroe,Minnesota
LouisianaMonroe,Tennessee
LouisianaState,AlabamaBirmingham
LouisianaState,Arkansas
LouisianaTech,Hawaii
LouisianaTech,LouisianaLafayette
LouisianaTech,LouisianaMonroe
LouisianaTech,MiamiFlorida
LouisianaTech,MiddleTennesseeState
LouisianaTech,Tulsa
Louisville,AlabamaBirmingham
Louisville,Army
Louisville,Cincinnati
Louisville,SouthernMississippi
Louisville,Tulane
Marshall,MichiganState
Memphis,AlabamaBirmingham
Memphis,Army
Memphis,Cincinnati
Memphis,SouthernMississippi
Memphis,Tennessee
Memphis,Tulane
MiamiOhio,Cincinnati
MiamiOhio,Marshall
MiamiOhio,Ohio
MiamiOhio,Vanderbilt
Michigan,Illinois
Michigan,Indiana
Michigan,MichiganState
Michigan,OhioState
Michigan,Purdue
Michigan,Rice
MichiganState,Missouri
MiddleTennesseeState,AlabamaBirmingham
MiddleTennesseeState,Illinois
MiddleTennesseeState,LouisianaLafayette
MiddleTennesseeState,Maryland
MiddleTennesseeState,MississippiState
Minnesota,Illinois
Minnesota,Indiana
Minnesota,Ohio
Mississippi,Arkansas
Mississippi,Georgia
Mississippi,LouisianaState
Mississippi,NevadaLasVegas
MississippiState,Arkansas
MississippiState,LouisianaState
MississippiState,Memphis
MississippiState,Mississippi
MississippiState,SouthCarolina
Missouri,Clemson
Missouri,OklahomaState
Navy,AirForce
Navy,Army
Navy,NotreDame
Navy,Rutgers
Navy,TexasChristian
Navy,Toledo
Navy,Tulane
Navy,WakeForest
Nebraska,Missouri
Nebraska,NotreDame
Nebraska,Oklahoma
Nevada,Hawaii
Nevada,NevadaLasVegas
Nevada,Oregon
Nevada,SanJoseState
Nevada,TexasChristian
Nevada,TexasElPaso
Nevada,Tulsa
NevadaLasVegas,Hawaii
NewMexico,AirForce
NewMexico,BoiseState
NewMexico,ColoradoState
NewMexico,NevadaLasVegas
NewMexico,NewMexicoState
NewMexico,OregonState
NewMexico,SanDiegoState
NewMexico,TexasTech
NewMexico,Utah
NewMexico,Wyoming
NewMexicoState,Army
NewMexicoState,Georgia
NewMexicoState,SouthCarolina
NewMexicoState,TexasElPaso
NewMexicoState,Tulsa
NewMexicoState,UtahState
NorthCarolina,Clemson
NorthCarolina,Marshall
NorthCarolina,Maryland
NorthCarolina,WakeForest
NorthCarolinaState,Clemson
NorthCarolinaState,Duke
NorthCarolinaState,GeorgiaTech
NorthCarolinaState,Indiana
NorthCarolinaState,Maryland
NorthCarolinaState,NorthCarolina
NorthCarolinaState,SouthernMethodist
NorthCarolinaState,Virginia
NorthCarolinaState,WakeForest
NorthTexas,ArkansasState
NorthTexas,BoiseState
NorthTexas,Idaho
NorthTexas,LouisianaLafayette
NorthTexas,NevadaLasVegas
NorthTexas,NewMexicoState
NorthTexas,UtahState
NorthernIllinois,Akron
NorthernIllinois,Auburn
NorthernIllinois,BallState
NorthernIllinois,Buffalo
NorthernIllinois,CentralFlorida
NorthernIllinois,CentralMichigan
NorthernIllinois,EasternMichigan
NorthernIllinois,Northwestern
NorthernIllinois,Toledo
NorthernIllinois,WesternMichigan
Northwestern,Duke
Northwestern,Illinois
Northwestern,Indiana
Northwestern,Michigan
Northwestern,MichiganState
Northwestern,Minnesota
Northwestern,Purdue
Northwestern,TexasChristian
Northwestern,Wisconsin
NotreDame,AirForce
NotreDame,MichiganState
NotreDame,Rutgers
Ohio,IowaState
Ohio,Marshall
OhioState,Illinois
OhioState,MiamiOhio
OhioState,MichiganState
OhioState,Minnesota
Oklahoma,OklahomaState
Oklahoma,Texas
Oregon,California
Oregon,OregonState
Oregon,WashingtonState
OregonState,California
PennState,Illinois
PennState,Indiana
PennState,LouisianaTech
PennState,Michigan
PennState,MichiganState
PennState,Minnesota
PennState,OhioState
PennState,Pittsburgh
PennState,Purdue
PennState,SouthernCalifornia
PennState,Toledo
Pittsburgh,MiamiFlorida
Pittsburgh,NorthCarolina
Pittsburgh,Rutgers
Pittsburgh,Temple
Purdue,Indiana
Purdue,Kent
Purdue,MichiganState
Purdue,Minnesota
Purdue,NotreDame
Purdue,OhioState
Rice,Hawaii
Rice,Nevada
Rice,Oklahoma
Rice,SanJoseState
Rice,SouthernMethodist
Rice,TexasChristian
Rice,TexasElPaso
Rice,Tulsa
Rutgers,MiamiFlorida
SanDiegoState,AirForce
SanDiegoState,Arizona
SanDiegoState,ColoradoState
SanDiegoState,Illinois
SanDiegoState,NevadaLasVegas
SanDiegoState,OregonState
SanDiegoState,Utah
SanDiegoState,Wyoming
SanJoseState,Hawaii
SanJoseState,Nebraska
SanJoseState,Stanford
SanJoseState,TexasChristian
SanJoseState,TexasElPaso
SanJoseState,Tulsa
SouthCarolina,Arkansas
SouthCarolina,Clemson
SouthCarolina,Georgia
SouthCarolina,Tennessee
SouthernCalifornia,Arizona
SouthernCalifornia,ArizonaState
SouthernCalifornia,California
SouthernCalifornia,Colorado
SouthernCalifornia,NotreDame
SouthernCalifornia,Oregon
SouthernCalifornia,OregonState
SouthernCalifornia,SanJoseState
SouthernCalifornia,Stanford
SouthernCalifornia,UCLA
SouthernCalifornia,WashingtonState
SouthernMethodist,Hawaii
SouthernMethodist,Nevada
SouthernMethodist,SanJoseState
SouthernMethodist,TexasChristian
SouthernMethodist,TexasElPaso
SouthernMethodist,Tulane
SouthernMethodist,Tulsa
SouthernMississippi,AlabamaBirmingham
SouthernMississippi,Cincinnati
SouthernMississippi,OklahomaState
SouthernMississippi,Tennessee
SouthernMississippi,Tulane
Stanford,California
Stanford,NotreDame
Stanford,OregonState
Stanford,Texas
Stanford,WashingtonState
Syracuse,Cincinnati
Syracuse,EastCarolina
Syracuse,MiamiFlorida
Syracuse,Pittsburgh
Syracuse,Rutgers
Syracuse,Temple
Temple,Maryland
Temple,MiamiFlorida
Temple,Navy
Temple,Rutgers
Tennessee,Arkansas
Tennessee,Georgia
Tennessee,LouisianaState
Texas,Missouri
Texas,OklahomaState
TexasA&M,NotreDame
TexasA&M,Oklahoma
TexasA&M,OklahomaState
TexasA&M,Texas
TexasA&M,TexasElPaso
TexasChristian,Hawaii
TexasElPaso,Hawaii
TexasElPaso,Oklahoma
TexasElPaso,TexasChristian
TexasElPaso,Tulsa
TexasTech,Baylor
TexasTech,Kansas
TexasTech,LouisianaLafayette
TexasTech,Nebraska
TexasTech,NorthTexas
TexasTech,Oklahoma
TexasTech,OklahomaState
TexasTech,Texas
TexasTech,TexasA&M
TexasTech,UtahState
Toledo,Marshall
Tulane,Army
Tulane,Cincinnati
Tulane,LouisianaLafayette
Tulane,Mississippi
Tulsa,Hawaii
Tulsa,NorthCarolina
Tulsa,OklahomaState
Tulsa,TexasChristian
UCLA,Arizona
UCLA,California
UCLA,FresnoState
UCLA,Michigan
UCLA,Oregon
UCLA,OregonState
UCLA,Stanford
UCLA,Washington
Utah,AirForce
Utah,California
Utah,ColoradoState
Utah,NevadaLasVegas
Utah,UtahState
Utah,WashingtonState
Vanderbilt,Georgia
Vanderbilt,Mississippi
Vanderbilt,SouthCarolina
Vanderbilt,Tennessee
Vanderbilt,WakeForest
Virginia,Clemson
Virginia,Duke
Virginia,GeorgiaTech
Virginia,Maryland
Virginia,NorthCarolina
Virginia,WakeForest
VirginiaTech,BostonCollege
VirginiaTech,CentralFlorida
VirginiaTech,EastCarolina
VirginiaTech,MiamiFlorida
VirginiaTech,Pittsburgh
VirginiaTech,Rutgers
VirginiaTech,Syracuse
VirginiaTech,Temple
VirginiaTech,Virginia
VirginiaTech,WestVirginia
WakeForest,Maryland
Washington,California
Washington,MiamiFlorida
Washington,Oregon
Washington,OregonState
Washington,Stanford
Washington,WashingtonState
WashingtonState,California
WashingtonState,OregonState
WestVirginia,EastCarolina
WestVirginia,Idaho
WestVirginia,Maryland
WestVirginia,MiamiFlorida
WestVirginia,NotreDame
WestVirginia,Pittsburgh
WestVirginia,Rutgers
WestVirginia,Syracuse
WestVirginia,Temple
WesternMichigan,BallState
WesternMichigan,CentralMichigan
WesternMichigan,EasternMichigan
WesternMichigan,Kent
WesternMichigan,Marshall
WesternMichigan,Ohio
WesternMichigan,Toledo
WesternMichigan,Wisconsin
Wisconsin,Cincinnati
Wisconsin,Hawaii
Wisconsin,Indiana
Wisconsin,Michigan
Wisconsin,MichiganState
Wisconsin,Minnesota
Wisconsin,OhioState
Wisconsin,Oregon
Wisconsin,Purdue
Wyoming,AirForce
Wyoming,Auburn
Wyoming,CentralMichigan
Wyoming,ColoradoState
Wyoming,Nevada
Wyoming,NevadaLasVegas
Wyoming,TexasA&M
Wyoming,Utah
