source,target,weight
Mabeuf,Enjolras,1
Mabeuf,Feuilly,1
Mabeuf,Joly,1
Mabeuf,MotherPlutarch,3
Marguerite,Fantine,2
Marius,Bahorel,1
Marius,BaronessT,1
Marius,Bossuet,5
Marius,Combeferre,5
Marius,Courfeyrac,9
Marius,Enjolras,7
Marius,Feuilly,1
Marius,Joly,2
Marius,Mabeuf,1
MlleBaptistine,MmeMagloire,6
MlleBaptistine,Valjean,3
MlleGillenormand,LtGillenormand,2
MlleGillenormand,Marius,6
MlleGillenormand,MlleVaubois,1
MlleGillenormand,MmePontmercy,1
MmeBurgon,Gavroche,2
MmeBurgon,Jondrette,1
MmeMagloire,Valjean,3
MmeThenardier,Anzelma,1
MmeThenardier,Babet,1
MmeThenardier,Claquesous,1
MmeThenardier,Cosette,4
MmeThenardier,Eponine,2
MmeThenardier,Gueulemer,1
MmeThenardier,Javert,1
MmeThenardier,Magnon,1
MmeThenardier,Thenardier,13
Montparnasse,Brujon,1
Myriel,Champtercier,1
Myriel,Count,2
Myriel,CountessDeLo,1
Myriel,Cravatte,1
Myriel,Geborand,1
Myriel,MlleBaptistine,8
Myriel,MmeMagloire,10
Myriel,OldMan,1
Myriel,Valjean,5
Napoleon,Myriel,1
Perpetue,Simplice,2
Pontmercy,Marius,1
Pontmercy,MmePontmercy,1
Prouvaire,Bahorel,2
Prouvaire,Bossuet,2
Prouvaire,Courfeyrac,3
Prouvaire,Feuilly,2
Prouvaire,Grantaire,1
Prouvaire,Joly,2
Thenardier,Anzelma,2
Thenardier,Babet,6
Thenardier,Boulatruelle,1
Thenardier,Brujon,3
Thenardier,Claquesous,4
Thenardier,Cosette,1
Thenardier,Eponine,3
Thenardier,Gavroche,1
Thenardier,Gueulemer,5
Thenardier,Javert,5
Thenardier,Marius,2
Thenardier,Montparnasse,1
Thenardier,Pontmercy,1
Tholomyes,Blacheville,4
Tholomyes,Cosette,1
Tholomyes,Dahlia,3
Tholomyes,Fameuil,4
Tholomyes,Fantine,3
Tholomyes,Favourite,3
Tholomyes,Marius,1
Tholomyes,Zephine,3
Valjean,Babet,1
Valjean,Bamatabois,2
Valjean,Bossuet,1
Valjean,Brevet,2
Valjean,Champmathieu,3
Valjean,Chenildieu,2
Valjean,Claquesous,1
Valjean,Cochepaille,2
Valjean,Cosette,31
Valjean,Enjolras,4
Valjean,Fantine,9
Valjean,Fauchelevent,8
Valjean,Gavroche,1
Valjean,Gervais,1
Valjean,Gillenormand,2
Valjean,Gueulemer,1
Valjean,Isabeau,1
Valjean,Javert,17
Valjean,Judge,3
Valjean,Labarre,1
Valjean,Marguerite,1
Valjean,Marius,19
Valjean,MlleGillenormand,2
Valjean,MmeDeR,1
Valjean,MmeThenardier,7
Valjean,Montparnasse,1
Valjean,MotherInnocent,1
Valjean,Scaufflaire,1
Valjean,Simplice,3
Valjean,Thenardier,12
Valjean,Toussaint,1
Valjean,Woman1,2
Valjean,Woman2,3
Zephine,Fantine,4
